,majorGroup,familyName,genusName,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,redlistIndex,image_inaturalist,licence
479,Dicot,MYRTACEAE,Xanthostemon,9561387,30538,Xanthostemon oppositifolius,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,oppositifolius,NA,NA,NA,Bailey,Endangered,"B1+2c, C2a",2.3,,Global,4,,
480,Dicot,JUGLANDACEAE,Pterocarya,158965576,66816434,Pterocarya rhoifolia,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,rhoifolia,NA,NA,NA,Siebold &amp; Zucc.,Least Concern,,3.1,Unknown,Global,1,,
481,Dicot,SAPINDACEAE,Podonephelium,68117998,68088823,Podonephelium homei,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,homei,NA,NA,NA,(Seemann) Radlk.,Least Concern,,3.1,Stable,Global,1,,
482,Dicot,BETULACEAE,Corylus,174149241,194448,Corylus cornuta,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,cornuta,NA,NA,NA,Marshall,Least Concern,,3.1,Stable,Global,1,,
483,Dicot,PRIMULACEAE,Jacquinia,181464194,153744444,Jacquinia keyensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,keyensis,NA,NA,NA,Mez,Least Concern,,3.1,Stable,Global,1,,
484,Dicot,RUBIACEAE,Chimarrhis,150120349,150120347,Chimarrhis parviflora,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,parviflora,NA,NA,NA,Standl.,Least Concern,,3.1,Stable,Global,1,,
485,Dicot,APIACEAE,Sium,67731002,64324910,Sium suave,PLANTAE,TRACHEOPHYTA,APIALES,MAGNOLIOPSIDA,suave,NA,NA,NA,Walt.,Least Concern,,3.1,Unknown,Global,1,,
486,Dicot,CAMPANULACEAE,Clermontia,10863839,44143,Clermontia oblongifolia,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,oblongifolia,NA,NA,NA,Gaudich.,Vulnerable,A1ce,2.3,,Global,3,,
487,Dicot,ASTERACEAE,Aedesia,8403197,185398,Aedesia glabra,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,glabra,NA,NA,NA,(Klatt) O.Hoffm.,Least Concern,,3.1,Unknown,Global & Pan-Africa,1,,
488,Dicot,CARYOPHYLLACEAE,Silene,5541853,162116,Silene hifacensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,hifacensis,NA,NA,NA,Rouy ex Willk.,Endangered,"B1ab(iv,v)+2ab(iv,v)",3.1,Decreasing,"Global, Europe & Mediterranean",4,,
489,Dicot,BORAGINACEAE,Myosotis,5696810,164078,Myosotis debilis,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,debilis,NA,NA,NA,Pomel,Least Concern,,3.1,Stable,Global & Mediterranean,1,,
